Loaded 3382_T.npy: 4918 points
Loaded 4519_T.npy: 4918 points
Loaded 6501_T.npy: 4918 points
Loaded 6758_T.npy: 4918 points
Loaded 7203_T.npy: 4918 points
Loaded 7974_T.npy: 4918 points
Loaded 8306_T.npy: 4918 points
Loaded 9432_T.npy: 4918 points
Loaded 9984_T.npy: 4918 points
Loaded IDX_N225.npy: 4887 points
Total sliding windows: 1339
Train: 1005 samples, Val: 334 samples
Loading model from: model
Froze first 17 of 20 transformer layers
Total params: 231,289,280 | Trainable params: 64,081,360 (27.7%)
Using AdamW optimizer (lr=0.0001, weight_decay=0.01)
Gradient accumulation: 16 steps (effective batch = 128)
LR scheduler: cosine with 5-epoch warmup
  Epoch 10 step 30/126 | loss=0.010617 lr=9.65e-05
  Epoch 10 step 40/126 | loss=0.014318 lr=9.63e-05
  Epoch 10 step 50/126 | loss=0.005443 lr=9.61e-05
  Epoch 10 step 60/126 | loss=0.023515 lr=9.61e-05
  Epoch 10 step 70/126 | loss=0.009657 lr=9.59e-05
  Epoch 10 step 80/126 | loss=0.009292 lr=9.57e-05
  Epoch 10 step 90/126 | loss=0.022413 lr=9.57e-05
  Epoch 10 step 100/126 | loss=0.011236 lr=9.55e-05
  Epoch 10 step 110/126 | loss=0.014055 lr=9.55e-05
  Epoch 10 step 120/126 | loss=0.010514 lr=9.53e-05
Epoch 10 train | loss=0.015254
Epoch 10 val   | loss=0.019540
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 11 step 10/126 | loss=0.008006 lr=9.50e-05
  Epoch 11 step 20/126 | loss=0.018011 lr=9.48e-05
  Epoch 11 step 30/126 | loss=0.013283 lr=9.48e-05
  Epoch 11 step 40/126 | loss=0.011032 lr=9.46e-05
  Epoch 11 step 50/126 | loss=0.007726 lr=9.44e-05
  Epoch 11 step 60/126 | loss=0.014778 lr=9.44e-05
  Epoch 11 step 70/126 | loss=0.010125 lr=9.41e-05
  Epoch 11 step 80/126 | loss=0.005184 lr=9.39e-05
  Epoch 11 step 90/126 | loss=0.026081 lr=9.39e-05
  Epoch 11 step 100/126 | loss=0.007158 lr=9.37e-05
  Epoch 11 step 110/126 | loss=0.013006 lr=9.37e-05
  Epoch 11 step 120/126 | loss=0.011512 lr=9.34e-05
Epoch 11 train | loss=0.013029
Epoch 11 val   | loss=0.018797
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 12 step 10/126 | loss=0.024654 lr=9.32e-05
  Epoch 12 step 20/126 | loss=0.014791 lr=9.29e-05
  Epoch 12 step 30/126 | loss=0.017358 lr=9.29e-05
  Epoch 12 step 40/126 | loss=0.012239 lr=9.27e-05
  Epoch 12 step 50/126 | loss=0.016875 lr=9.24e-05
  Epoch 12 step 60/126 | loss=0.009979 lr=9.24e-05
  Epoch 12 step 70/126 | loss=0.012409 lr=9.21e-05
  Epoch 12 step 80/126 | loss=0.010797 lr=9.19e-05
  Epoch 12 step 90/126 | loss=0.010936 lr=9.19e-05
  Epoch 12 step 100/126 | loss=0.006801 lr=9.16e-05
  Epoch 12 step 110/126 | loss=0.007945 lr=9.16e-05
  Epoch 12 step 120/126 | loss=0.007112 lr=9.13e-05
Epoch 12 train | loss=0.012294
Epoch 12 val   | loss=0.019598
  Epoch 13 step 10/126 | loss=0.012887 lr=9.10e-05
  Epoch 13 step 20/126 | loss=0.010007 lr=9.07e-05
  Epoch 13 step 30/126 | loss=0.006266 lr=9.07e-05
  Epoch 13 step 40/126 | loss=0.006423 lr=9.05e-05
  Epoch 13 step 50/126 | loss=0.021633 lr=9.02e-05
  Epoch 13 step 60/126 | loss=0.017631 lr=9.02e-05
